Id,carat,cut,color,clarity,depth,table,price,x,y,z
1,1.06,Ideal,I,SI2,61.8,57.0,4270,6.57,6.6,4.07
2,1.51,Premium,G,VVS2,60.9,58.0,15164,7.38,7.42,4.51
3,0.32,Ideal,F,VS2,61.3,56.0,828,4.43,4.41,2.71
4,0.53,Ideal,G,VS2,61.2,56.0,1577,5.19,5.22,3.19
5,0.7,Premium,H,VVS2,61.0,57.0,2596,5.76,5.72,3.5
6,0.9,Very Good,G,IF,63.1,58.0,5670,6.18,6.09,3.87
7,0.71,Very Good,F,VS1,61.8,60.0,3017,5.66,5.7,3.51
8,0.7,Ideal,F,SI1,61.3,57.0,2288,5.72,5.77,3.52
9,0.59,Ideal,D,VS1,60.9,56.0,2175,5.39,5.44,3.3
10,0.31,Very Good,G,VVS1,59.8,62.0,761,4.35,4.41,2.62
11,0.43,Ideal,E,SI1,61.2,56.2,803,4.87,4.89,2.99
12,0.7,Ideal,F,SI2,62.0,55.0,2259,5.69,5.73,3.54
13,1.3,Premium,H,VS1,61.5,58.0,7855,6.98,6.96,4.29
14,0.33,Premium,I,VS2,60.6,58.0,594,4.47,4.44,2.7
15,0.85,Ideal,H,SI1,60.8,57.0,3183,6.13,6.18,3.74
16,0.51,Very Good,G,VS2,62.9,58.0,1438,5.06,5.11,3.2
17,1.5,Premium,H,SI2,60.2,59.0,5937,7.43,7.35,4.45
18,0.45,Ideal,G,IF,62.8,53.0,1377,4.92,4.95,3.1
19,0.3,Premium,G,VS1,62.5,55.0,776,4.32,4.25,2.68
20,0.53,Ideal,F,VVS2,61.6,55.0,2131,5.21,5.24,3.22
21,1.09,Very Good,F,SI2,58.6,63.0,4629,6.73,6.78,3.96
22,0.46,Ideal,E,SI2,61.3,56.0,1116,5.02,4.96,3.06
23,1.0,Fair,J,VS2,65.7,59.0,2811,6.14,6.07,4.01
24,1.7,Ideal,G,VVS1,61.0,56.0,18279,7.62,7.67,4.66
25,2.02,Premium,H,SI1,61.4,61.0,13229,8.09,8.03,4.95
26,0.7,Very Good,J,VS2,61.1,61.0,1952,5.64,5.69,3.46
27,1.08,Ideal,H,SI2,61.2,57.4,4564,6.57,6.63,4.04
28,0.8,Premium,G,VS2,60.6,59.0,3002,6.02,5.97,3.63
29,0.42,Ideal,I,VVS1,60.2,57.0,945,4.88,4.85,2.93
30,1.2,Very Good,J,VS2,62.5,57.0,4590,6.72,6.79,4.22
31,1.01,Premium,H,SI2,61.1,60.0,3054,6.46,6.41,3.93
32,1.01,Very Good,D,SI2,60.8,61.0,4260,6.45,6.5,3.94
33,0.79,Ideal,H,VVS2,62.0,55.9,3324,5.88,5.95,3.67
34,0.35,Ideal,E,VS1,62.3,57.0,747,4.51,4.55,2.82
35,0.26,Ideal,E,VVS2,61.3,57.0,733,4.12,4.15,2.53
36,0.7,Good,F,SI1,57.9,63.0,2190,5.8,5.84,3.37
37,0.41,Very Good,D,SI1,63.0,57.0,717,4.64,4.7,2.94
38,0.3,Ideal,G,VVS1,61.5,57.0,764,4.28,4.31,2.64
39,1.14,Very Good,E,SI2,62.6,56.0,4915,6.63,6.69,4.17
40,1.14,Ideal,F,VS1,61.1,55.0,9116,6.78,6.74,4.13
41,0.41,Ideal,D,VS2,62.2,57.0,1076,4.76,4.72,2.95
42,1.0,Ideal,E,SI1,62.3,55.0,5396,6.41,6.34,3.97
43,0.82,Good,G,SI2,63.8,60.0,2512,5.89,5.84,3.74
44,0.34,Ideal,I,SI1,61.9,57.0,589,4.52,4.49,2.79
45,1.51,Very Good,I,VS2,63.0,60.0,8952,7.25,7.3,4.58
46,0.82,Very Good,G,SI1,63.1,52.0,2716,6.02,5.97,3.78
47,2.01,Fair,H,SI2,65.9,57.0,12617,7.8,7.74,5.12
48,1.51,Very Good,G,VVS2,62.1,59.0,13337,7.28,7.34,4.54
49,0.51,Ideal,D,VS2,61.7,56.0,1633,5.12,5.15,3.17
50,0.56,Ideal,D,VS1,61.1,56.0,2741,5.3,5.33,3.25
51,0.79,Good,I,VS2,58.5,62.0,2451,5.99,6.04,3.52
52,1.1,Premium,E,SI2,60.0,60.0,4201,6.7,6.73,4.03
53,0.71,Very Good,I,VVS1,63.0,58.0,2549,5.66,5.68,3.57
54,0.52,Ideal,G,SI1,61.2,55.0,1413,5.17,5.22,3.18
55,1.5,Premium,I,SI2,62.7,57.0,7526,7.35,7.28,4.59
56,1.5,Premium,F,SI2,61.4,60.0,9374,7.34,7.28,4.49
57,1.56,Ideal,F,SI2,61.6,56.0,10396,7.45,7.41,4.58
58,0.5,Ideal,D,SI1,62.6,57.0,1654,5.1,5.06,3.18
59,1.08,Ideal,G,VS2,62.1,57.0,5661,6.57,6.54,4.07
60,0.53,Ideal,I,SI1,61.5,54.0,1038,5.22,5.26,3.22
61,0.34,Ideal,E,VS1,62.2,54.2,816,4.44,4.47,2.78
62,0.57,Ideal,E,VVS1,62.3,53.5,2632,5.29,5.33,3.31
63,2.04,Premium,I,SI1,62.2,57.0,16942,8.14,8.07,5.04
64,0.48,Very Good,E,VS1,62.2,62.0,1644,4.95,4.99,3.09
65,0.33,Premium,G,VS2,61.4,60.0,579,4.41,4.45,2.72
66,1.01,Premium,F,SI2,58.8,62.0,4197,6.49,6.46,3.81
67,0.92,Premium,F,I1,60.7,58.0,2607,6.29,6.26,3.81
68,0.91,Good,I,VS2,58.0,62.0,3747,6.32,6.38,3.68
69,0.76,Very Good,I,SI1,57.5,62.0,2316,6.03,6.08,3.48
70,1.0,Good,E,SI1,62.4,59.0,4936,6.35,6.4,3.98
71,0.42,Ideal,G,SI1,60.7,57.0,756,4.81,4.89,2.95
72,0.31,Ideal,G,VVS1,61.2,56.0,816,4.34,4.38,2.67
73,0.32,Premium,F,VVS1,61.3,58.0,926,4.37,4.4,2.69
74,0.81,Ideal,G,SI1,62.2,57.0,3192,5.97,6.02,3.73
75,0.72,Premium,E,SI2,61.6,59.0,2019,5.83,5.68,3.55
76,0.42,Ideal,H,IF,61.9,56.0,1216,4.79,4.81,2.97
77,1.01,Very Good,G,VS2,63.4,55.0,6406,6.35,6.4,4.04
78,0.5,Ideal,E,VS1,62.2,57.0,1603,5.1,5.13,3.18
79,0.71,Ideal,F,SI2,61.6,57.0,2386,5.72,5.75,3.53
80,0.57,Ideal,D,VS2,62.1,56.0,1963,5.34,5.29,3.3
81,0.7,Good,E,VS1,61.3,62.0,3277,5.64,5.72,3.48
82,0.53,Ideal,H,VVS1,61.1,57.0,2154,5.22,5.25,3.2
83,0.31,Ideal,E,VS1,61.6,57.0,734,4.32,4.35,2.67
84,1.0,Very Good,G,VS2,60.0,55.0,5385,6.41,6.52,3.88
85,1.11,Ideal,I,VS1,63.0,56.0,5152,6.61,6.57,4.15
86,1.53,Ideal,F,SI1,62.6,55.0,12415,7.39,7.37,4.62
87,1.0,Very Good,H,VS2,63.3,62.0,4652,6.37,6.29,4.01
88,1.21,Good,J,SI2,63.7,55.0,4269,6.81,6.75,4.32
89,0.4,Ideal,G,VVS1,60.8,54.0,1097,4.8,4.83,2.93
90,0.54,Very Good,G,VVS1,60.6,55.0,1983,5.28,5.31,3.21
91,0.53,Very Good,I,VS1,59.9,58.0,1350,5.24,5.28,3.15
92,0.7,Ideal,H,VS1,61.0,56.0,3185,5.75,5.79,3.51
93,0.3,Ideal,I,VS2,62.6,56.0,540,4.31,4.29,2.69
94,0.41,Good,G,SI1,63.4,57.0,671,4.7,4.73,2.99
95,0.4,Good,G,VS2,63.8,59.0,1007,4.64,4.57,2.94
96,1.0,Very Good,G,SI1,61.4,57.0,4919,6.45,6.42,3.95
97,0.43,Premium,F,SI1,61.6,59.0,1016,4.87,4.83,2.99
98,0.91,Good,F,SI1,63.7,58.0,3924,6.17,6.1,3.91
99,0.28,Very Good,E,VVS1,61.9,59.0,642,4.16,4.21,2.59
100,0.3,Premium,D,VS2,60.6,59.0,911,4.36,4.28,2.62
101,2.02,Good,I,SI2,61.0,62.0,12927,8.1,8.14,4.95
102,0.33,Very Good,F,VS2,63.2,56.0,854,4.41,4.39,2.78
103,0.7,Ideal,J,SI2,61.6,57.0,1826,5.68,5.65,3.49
104,0.4,Ideal,F,VVS2,62.4,57.0,1163,4.73,4.69,2.94
105,0.38,Ideal,J,VVS2,61.7,54.6,670,4.65,4.69,2.89
106,1.57,Ideal,G,SI1,61.8,55.0,11702,7.49,7.43,4.61
107,0.42,Ideal,F,VVS1,61.4,56.0,1656,4.83,4.85,2.97
108,0.56,Very Good,H,SI1,61.3,60.0,1197,5.23,5.28,3.22
109,0.39,Ideal,G,VVS1,62.3,57.0,1095,4.64,4.7,2.91
110,1.01,Good,F,SI1,64.2,58.0,4339,6.24,6.29,4.02
111,0.52,Premium,G,VVS2,61.1,59.0,2012,5.2,5.15,3.16
112,0.99,Very Good,D,SI2,62.5,57.0,4993,6.3,6.34,3.95
113,1.06,Very Good,J,SI2,62.0,58.0,3754,6.45,6.53,4.04
114,0.92,Premium,I,SI1,60.7,58.0,3529,6.3,6.25,3.81
115,1.02,Very Good,E,VS1,58.9,59.0,7253,6.52,6.65,3.88
116,1.02,Ideal,E,VS1,60.1,57.0,8244,6.59,6.52,3.94
117,0.25,Very Good,F,VS1,59.6,56.0,436,4.13,4.16,2.47
118,1.05,Very Good,E,VVS1,59.5,60.0,10915,6.56,6.66,3.93
119,0.24,Very Good,F,IF,60.4,58.0,552,4.02,4.06,2.44
120,1.01,Ideal,H,SI1,61.4,60.0,4680,6.48,6.45,3.97
121,2.1,Fair,F,SI2,59.5,69.0,16506,8.35,8.25,4.94
122,0.93,Premium,F,SI2,59.5,60.0,3620,6.39,6.36,3.79
123,0.51,Very Good,D,VS1,58.8,60.0,1616,5.18,5.26,3.07
124,1.01,Good,G,VVS2,63.4,55.0,6843,6.34,6.41,4.04
125,1.51,Premium,E,VS2,59.8,58.0,14482,7.55,7.52,4.47
126,0.34,Premium,H,VS2,61.9,56.0,689,4.49,4.46,2.77
127,0.58,Ideal,G,VS2,61.2,55.0,1558,5.4,5.45,3.32
128,1.52,Premium,H,SI1,61.2,58.0,8566,7.53,7.43,4.57
129,2.03,Ideal,F,SI2,61.4,58.0,18535,8.12,8.16,5.0
130,1.35,Very Good,H,SI2,62.2,56.0,6088,7.02,7.06,4.38
131,0.71,Good,E,SI1,63.1,59.0,2420,5.62,5.75,3.59
132,0.29,Ideal,G,VVS1,60.2,56.0,673,4.29,4.33,2.59
133,0.7,Very Good,D,VVS2,62.8,60.0,4022,5.65,5.69,3.56
134,0.32,Ideal,D,VS2,62.7,54.0,758,4.36,4.38,2.74
135,0.3,Premium,E,VS2,62.1,59.0,844,4.29,4.27,2.66
136,0.91,Good,H,SI1,63.7,60.0,3229,6.16,6.09,3.9
137,0.51,Ideal,E,VS2,61.9,55.0,1781,5.17,5.13,3.19
138,0.72,Ideal,I,SI1,61.3,56.0,2351,5.78,5.81,3.55
139,1.03,Very Good,H,VS2,62.0,58.0,5266,6.45,6.51,4.02
140,0.56,Good,E,VS2,61.4,62.0,1736,5.34,5.28,3.26
141,0.71,Very Good,F,VS2,59.5,58.0,2918,5.82,5.87,3.48
142,0.71,Ideal,G,VS2,61.3,56.0,2803,5.75,5.71,3.51
143,0.76,Premium,H,SI1,60.9,59.0,1915,5.91,5.86,3.58
144,1.01,Ideal,D,SI1,61.6,56.0,5234,6.45,6.48,3.98
145,0.4,Ideal,G,IF,63.1,54.0,1239,4.69,4.73,2.97
146,0.73,Ideal,I,SI1,62.0,57.0,2215,5.74,5.77,3.56
147,0.71,Very Good,D,VVS2,62.7,59.0,3670,5.64,5.69,3.55
148,1.53,Ideal,I,SI2,62.4,54.0,7859,7.34,7.41,4.6
149,0.81,Ideal,I,SI1,61.3,56.0,3097,6.23,6.27,3.83
150,0.33,Premium,H,IF,60.3,59.0,1114,4.49,4.47,2.7
151,0.51,Premium,G,SI1,60.9,58.0,1281,5.21,5.14,3.15
152,0.64,Premium,H,SI1,60.0,59.0,1274,5.63,5.57,3.36
153,1.51,Good,I,SI1,63.9,59.0,9069,7.18,7.26,4.61
154,0.54,Ideal,F,VVS2,61.9,56.0,2168,5.2,5.23,3.23
155,0.59,Ideal,E,VS2,61.4,56.0,1755,5.33,5.42,3.3
156,0.71,Ideal,G,VS1,61.8,57.0,3431,5.69,5.73,3.53
157,0.7,Good,H,VS2,56.7,63.0,2187,5.87,5.92,3.34
158,0.51,Ideal,E,VS2,60.8,56.0,1413,5.18,5.21,3.16
159,0.9,Good,I,SI2,60.7,58.0,3057,6.17,6.21,3.76
160,2.04,Ideal,F,SI2,62.3,57.0,16261,8.05,8.13,5.04
161,0.98,Premium,H,VS2,59.9,60.0,4623,6.45,6.38,3.84
162,0.31,Premium,E,VVS2,62.2,56.0,1116,4.31,4.28,2.67
163,0.31,Premium,D,SI1,61.2,60.0,571,4.35,4.41,2.68
164,0.41,Ideal,E,SI1,62.5,57.0,969,4.79,4.74,2.98
165,0.35,Ideal,G,VS2,61.3,56.0,807,4.55,4.58,2.8
166,0.9,Ideal,E,SI2,62.1,56.0,3804,6.25,6.19,3.86
167,0.35,Ideal,E,VVS1,61.3,56.0,916,4.52,4.55,2.78
168,1.81,Good,G,SI2,58.9,55.0,11336,7.99,8.04,4.72
